ranking_home,ranking_away,mean_points_per_match_tot_home,mean_points_per_match_tot_away,mean_points_per_match_in_location_home,mean_points_per_match_in_location_away,matches_won_tot_home,matches_won_tot_away,mean_shots_home,mean_shots_away,mean_shot_on_target_home,mean_shot_on_target_away,mean_fouls_home,mean_fouls_away,mean_yellow_cards_home,mean_yellow_cards_away,score_home,score_away,winners
0.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,16.0,15.0,6.0,3.0,7.0,13.0,0.0,1.0,3.0,0.0,H
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,9.0,13.0,2.0,20.0,4.0,2.0,2.0,0.0,0.0,D
1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,16.0,18.0,6.0,7.0,10.0,10.0,1.0,2.0,2.0,1.0,H
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,3.0,4.0,16.0,28.0,2.0,3.0,0.0,0.0,D
2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,18.0,10.0,5.0,3.0,11.0,10.0,2.0,2.0,1.0,2.0,A
3.0,3.0,0.5,1.0,0.0,1.0,0.0,0.5,16.5,13.5,6.0,3.5,10.0,15.5,1.5,2.5,0.0,1.0,A
2.0,0.0,1.0,3.5,2.0,4.0,0.0,1.0,10.5,17.0,3.5,7.0,20.5,10.5,3.5,2.0,2.0,4.0,A
3.0,1.0,1.0,3.0,1.0,3.0,0.5,1.0,12.0,15.0,2.0,7.0,14.0,7.5,1.5,0.5,1.0,3.0,A
2.0,2.0,1.5,1.0,1.0,2.0,0.5,0.5,11.5,18.0,4.0,8.0,9.0,14.0,1.5,1.5,1.0,2.0,A
4.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,9.5,8.5,3.0,2.0,11.0,9.0,1.0,2.5,0.0,0.0,D
3.0,2.0,0.5,2.0,1.0,2.0,0.0,1.0,20.0,14.0,6.5,5.5,16.5,10.5,2.0,2.5,1.0,2.0,A
1.0,3.0,2.5,0.5,2.0,0.5,1.0,0.0,17.0,9.5,7.5,3.0,17.0,14.0,2.5,0.5,2.0,1.0,H
1.0,3.0,3.0,0.5,3.0,1.0,1.0,0.0,16.0,14.0,8.0,4.0,12.0,11.5,1.5,1.5,3.0,1.0,H
1.0,2.0,1.5,1.5,3.0,2.0,0.5,0.0,9.5,14.5,3.0,4.0,6.5,12.5,2.5,1.5,3.0,2.0,H
1.0,4.0,2.0,0.0,3.0,0.0,0.5,0.0,11.5,16.5,4.0,2.5,11.5,16.0,1.0,1.5,3.0,0.0,H
0.0,2.0,3.3333333333333335,1.0,3.0,1.0,1.0,0.3333333333333333,16.333333333333332,12.666666666666666,6.0,3.3333333333333335,10.333333333333334,8.333333333333334,2.0,1.3333333333333333,3.0,0.0,H
4.0,5.0,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.0,12.333333333333334,16.333333333333332,3.6666666666666665,2.6666666666666665,12.0,16.666666666666668,1.0,1.3333333333333333,2.0,1.0,H
5.0,3.0,0.3333333333333333,1.6666666666666667,0.0,1.0,0.0,0.6666666666666666,16.0,13.0,5.666666666666667,4.666666666666667,11.0,15.0,1.6666666666666667,1.3333333333333333,0.0,1.0,A
5.0,0.0,0.6666666666666666,3.0,0.5,3.0,0.3333333333333333,1.0,10.666666666666666,16.333333333333332,3.0,7.666666666666667,13.666666666666666,13.333333333333334,3.3333333333333335,1.3333333333333333,0.0,3.0,A
5.0,6.0,0.6666666666666666,0.0,1.0,0.0,0.3333333333333333,0.0,10.666666666666666,9.333333333333334,3.3333333333333335,2.6666666666666665,14.666666666666666,12.666666666666666,1.0,1.0,1.0,0.0,H
1.0,3.0,2.6666666666666665,1.0,2.5,0.0,1.0,0.3333333333333333,16.333333333333332,9.333333333333334,7.0,2.3333333333333335,9.666666666666666,8.666666666666666,1.0,2.3333333333333335,2.0,0.0,H
2.0,2.0,2.0,2.0,2.0,2.0,0.6666666666666666,0.6666666666666666,16.0,17.333333333333332,7.666666666666667,7.0,14.0,15.333333333333334,1.3333333333333333,2.0,4.0,1.0,H
4.0,4.0,1.3333333333333333,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,14.333333333333334,11.0,4.333333333333333,3.0,12.333333333333334,19.333333333333332,2.3333333333333335,2.3333333333333335,1.0,0.0,H
5.0,1.0,0.3333333333333333,2.0,0.5,2.5,0.0,0.3333333333333333,10.333333333333334,20.0,2.0,7.666666666666667,10.0,14.666666666666666,2.3333333333333335,1.6666666666666667,0.0,5.0,A
6.0,1.0,0.0,2.5,0.0,2.5,0.0,1.0,10.0,14.0,3.0,6.0,12.0,8.75,1.0,1.25,0.0,2.0,A
1.0,4.0,2.0,0.75,1.5,1.0,0.5,0.25,18.5,9.5,6.75,2.75,15.0,12.25,1.5,3.25,2.0,1.0,H
